Date,Date,TimeDay,TestID,TestID2,TL_mm,mass_mg,Order_fish_flip,tank,temp_tolerance,Test,Tide,Tide2,Phys.cond,treatment,temp_treatment,Field_Lab,Temp_test_start,max.Env.Temp,min.Env.Temp,mean.Env.Temp,delta.T,Stat_Var
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,36,217,28,7,38.64,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
11/13/19,13-Nov,10:15:00,lab4,LAB-12,41,315,1,3,32.15,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
11/13/19,13-Nov,10:15:00,lab4,LAB-12,33,166,2,13,32.17,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
11/13/19,13-Nov,10:15:00,lab4,LAB-12,35,225,3,3,32.89,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
11/13/19,13-Nov,10:15:00,lab4,LAB-12,31,171,4,3,33.08,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
11/13/19,13-Nov,10:15:00,lab4,LAB-12,36,199,5,8,33.42,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
11/13/19,13-Nov,10:15:00,lab4,LAB-12,39,327,6,3,34.16,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
11/13/19,13-Nov,10:15:00,lab4,LAB-12,39,344,7,13,34.14,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
11/13/19,13-Nov,10:15:00,lab4,LAB-12,36,251,8,8,34.32,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
11/13/19,13-Nov,10:15:00,lab4,LAB-12,35,193,9,3,34.58,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
11/13/19,13-Nov,10:15:00,lab4,LAB-12,33,206,10,13,34.58,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
11/13/19,13-Nov,10:15:00,lab4,LAB-12,37,212,11,8,34.71,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
11/13/19,13-Nov,10:15:00,lab4,LAB-12,27,122,12,3,34.83,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
11/13/19,13-Nov,10:15:00,lab4,LAB-12,34,200,13,13,34.78,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
